NAME                                              READY   STATUS         RESTARTS   AGE     IP              NODE              NOMINATED NODE   READINESS GATES
clearml-gpu-id-9cde176dd60043648114a621ceba53e0   1/1     Running        0          10m     10.244.3.73     kubepoweredge03   <none>           <none>
clearml-gpu-id-a40d3aaf290d415db151802f5463ef0b   1/1     Running        0          14m     10.244.9.21     kubepoweredge10   <none>           <none>
clearml-gpu-id-a435e38830ae4664b7904a447ff73b59   0/1     Pending        0          7m      <none>          <none>            <none>           <none>
clearml-gpu-id-a576603be4704ab9a7eae7677da1028f   1/1     Running        0          15m     10.244.14.252   kubepoweredge11   <none>           <none>
clearml-gpu-id-af25cecb9365491eb98e92fb6769d662   1/1     Running        0          12m     10.244.3.71     kubepoweredge03   <none>           <none>
clearml-gpu-id-b066707f08c049e8a7c9937c0c45c754   0/1     Pending        0          51s     <none>          <none>            <none>           <none>
clearml-gpu-id-b37340b34f3043e9b28a8fd03a426db0   1/1     Running        0          11m     10.244.14.254   kubepoweredge11   <none>           <none>
clearml-gpu-id-b6313ac817b94ad698bf47a238261136   1/1     Running        0          10m     10.244.3.72     kubepoweredge03   <none>           <none>
clearml-gpu-id-b8b11ed94e9d47d39df47963557be268   1/1     Running        0          9m54s   10.244.7.90     kubepoweredge04   <none>           <none>
clearml-gpu-id-b9d7e928a61349ecbdbb2ff2e1c83939   1/1     Running        0          7m43s   10.244.10.108   kubepoweredge06   <none>           <none>
clearml-gpu-id-bb284b817f9d4c1f8563413f6e8c12ea   1/1     Running        0          14m     10.244.12.110   kubepoweredge09   <none>           <none>
clearml-gpu-id-bb4e8d1ac3724f85b4647f579db1e79a   0/1     Pending        0          3m13s   <none>          <none>            <none>           <none>
clearml-gpu-id-bd0d259466b94bc7844b0faddb2aa905   0/1     Pending        0          98s     <none>          <none>            <none>           <none>
clearml-gpu-id-bdc768e5590f4668869686181e9ce098   0/1     Pending        0          88s     <none>          <none>            <none>           <none>
clearml-gpu-id-c25571639bfe477bb008310228d642d6   0/1     Pending        0          25s     <none>          <none>            <none>           <none>
clearml-gpu-id-c54d24277ccc4e599a468ebc92c7c6ef   1/1     Running        0          12m     10.244.9.22     kubepoweredge10   <none>           <none>
clearml-gpu-id-caf61adac1c84e199366b52ed29937fd   1/1     Running        0          15m     10.244.12.108   kubepoweredge09   <none>           <none>
clearml-gpu-id-d400472579944c379656162c16a0ce1e   0/1     Pending        0          9s      <none>          <none>            <none>           <none>
clearml-gpu-id-d8480dd1cf4943b2bd6d727344d45f24   1/1     Running        0          11m     10.244.7.87     kubepoweredge04   <none>           <none>
clearml-gpu-id-d8f9c328c9b44d0baa5af2231743eab5   0/1     Pending        0          3m14s   <none>          <none>            <none>           <none>
clearml-gpu-id-d9325a7dda344bcd93ecf9a322fddf76   0/1     Pending        0          82s     <none>          <none>            <none>           <none>
clearml-gpu-id-e5dad82d97a644af886fe566dafe448c   1/1     Running        0          7m43s   10.244.10.109   kubepoweredge06   <none>           <none>
clearml-gpu-id-e83f4c6ff1ae48beb943ad3bc385a3c3   1/1     Running        0          13m     10.244.2.49     kubepoweredge01   <none>           <none>
clearml-gpu-id-e8a3609b80284147960abc4e794f551d   0/1     Pending        0          5m12s   <none>          <none>            <none>           <none>
clearml-gpu-id-ea963c316597491c98663a5611c28bc1   0/1     Pending        0          6m53s   <none>          <none>            <none>           <none>
clearml-gpu-id-ed13b1c1e6624be79a2d1d5047b0f5c6   0/1     Pending        0          6m17s   <none>          <none>            <none>           <none>
clearml-gpu-id-fba42d954ee342268d9670b5795fa5f1   0/1     Pending        0          76s     <none>          <none>            <none>           <none>
clearml-gpu-id-fda2421e687e4648953570e88cf2e535   1/1     Running        0          12m     10.244.14.253   kubepoweredge11   <none>           <none>
clearml-gpu-id-ff03936f31f34d7da5578eade93ef2e1   1/1     Running        0          12m     10.244.2.53     kubepoweredge01   <none>           <none>
clearml-k8s-glue                                  1/1     Running        0          3d2h    10.244.3.62     kubepoweredge03   <none>           <none>
db-deploy-7c7f599958-bm6hh                        0/1     ErrImagePull   0          10s     10.244.8.33     kubepoweredge05   <none>           <none>
